Date,Launch Time (UTC),Missile Name,Missile Type,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome
5-Sep-16,3:13:00 AM,ER Scud,MRBM,don’t care,38.686834,125.702005,don’t care,Unknown,1000 km,Confirmed
5-Sep-16,3:13:00 AM,ER Scud,MRBM,don’t care,38.686834,125.702005,don’t care,Unknown,1000 km,Confirmed
5-Sep-16,3:13:00 AM,ER Scud,MRBM,don’t care,38.686834,125.702005,don’t care,Unknown,1000 km,Confirmed
14-Oct-16,6:33:00 PM,Musudan,IRBM,don’t care,39.927472,125.207889,don’t care,Unknown,Unknown,Confirmed
19-Oct-16,10:00:00 PM,Musudan,IRBM,don’t care,39.927472,125.207889,don’t care,Unknown,Unknown,Confirmed
11-Feb-17,10:55:00 PM,Pukguksong-2,MRBM,don’t care,40.01325,125.22302,don’t care,550 km,500 km,Confirmed
5-Mar-17,10:34:00 PM,ER Scud,MRBM,don’t care,39.6596,124.7057,don’t care,260 km,1000 km,Confirmed
5-Mar-17,10:34:00 PM,ER Scud,MRBM,don’t care,39.6596,124.7057,don’t care,260 km,1000 km,Confirmed
5-Mar-17,10:34:00 PM,ER Scud,MRBM,don’t care,39.6596,124.7057,don’t care,260 km,1000 km,Confirmed
5-Mar-17,10:34:00 PM,ER Scud,MRBM,don’t care,39.6596,124.7057,don’t care,260 km,1000 km,Confirmed
5-Mar-17,10:34:00 PM,ER Scud,MRBM,don’t care,39.6596,124.7057,don’t care,,,Confirmed
21-Mar-17,10:00:00 PM,Unknown,Unknown,don’t care,39.1677,127.4817,don’t care,0 km,,Confirmed
4-Apr-17,9:42:00 PM,Hwasong-12,IRBM,40.0368,128.1839,don’t care,189 km,60 km,Confirmed,0
15-Apr-17,9:21:00 PM,Hwasong-12,IRBM,40.0368,128.1839,don’t care,0 km,0 km,Confirmed,0
28-Apr-17,8:33:00 PM,Hwasong-12,IRBM,39.504417,125.964333,don’t care,71 km,,Confirmed,0
14-May-17,8:28:00 PM,Hwasong-12,IRBM,don’t care,40.0659,125.2099,don’t care,2111.5 km,787 km,Confirmed
21-May-17,7:59:00 AM,Pukguksong-2,MRBM,39.618283,125.8035851,don’t care,560 km,500 km,Confirmed,1
28-May-17,8:40:00 PM,Scud-C MaRV,SRBM,don’t care,39.1677,127.4817,don’t care,120 km,400 km,Confirmed
4-Jul-17,12:40:00 AM,Hwasong-14,ICBM,don’t care,39.872153,125.269192,don’t care,2802 km,933 km,Confirmed
28-Jul-17,2:42:00 PM,Hwasong-14,ICBM,don’t care,40.611208,126.425743,don’t care,3724.9 km,998 km,Confirmed
25-Aug-17,9:49:00 PM,Scud-B MaRV,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,,250 km
25-Aug-17,10:07:00 PM,Scud-B MaRV,SRBM, (North Korea)",don’t care,38.99083,127.6236,don’t care,,N/A
